Squad,Investment,League,,,
Manchester City,€1.04bn,PL,,,
Chelsea FC,€966.65m,PL,,,
Manchester United,€894.58m,PL,,,
Liverpool FC,€771.78m,PL,,,
Arsenal FC,€540.73m,PL,,,
Everton FC,€509.16m,PL,,,
Tottenham Hotspur,€446.53m,PL,,,
Southampton FC,€388.10m,PL,,,
Leicester City,€363.81m,PL,,,
West Ham United,€353.05m,PL,,,
Newcastle United,€327.23m,PL,,,
Watford FC,€265.75m,PL,,,
Crystal Palace,€255.02m,PL,,,
AFC Bournemouth,€230.58m,PL,,,
Swansea City,€228.59m,PL,,,
Stoke City,€225.22m,PL,,,
Fulham FC,€217.62m,PL,,,
Aston Villa,€207.24m,PL,,,
West Bromwich Albion,€190.07m,PL,,,
Wolverhampton Wanderers,€188.50m,PL,,,
Brighton & Hove Albion,€181.64m,PL,,,
Middlesbrough FC,€172.00m,PL,,,
Sunderland AFC,€170.08m,PL,,,
Burnley FC,€153.21m,PL,,,
Hull City,€153.01m,PL,,,
Norwich City,€148.51m,PL,,,
Cardiff City,€121.76m,PL,,,
Huddersfield Town,€116.19m,PL,,,
Queens Park Rangers,€86.35m,PL,,,
