Squad,Stadium,Capacity
Chelsea,Stamford Bridge,"41,837"
Manchester Utd,Old Trafford,"74,140"
Arsenal,Emirates Stadium,"60,260"
Tottenham,Tottenham Hotspur Stadium,"62,303"
Manchester City,Etihad Stadium,"55,017"
Aston Villa,Villa Park,"42,785"
Liverpool,Anfield,"53,394"
Everton,Goodison Park,"39,414"
Birmingham City,St. Andrew's,"29,409"
Blackburn,Ewood Park,"31,367"
Stoke City,bet365 Stadium,"30,089"
Fulham,Craven Cottage,"19,000"
Sunderland,Stadium of Light,"48,707"
Bolton,University of Bolton Stadium,"28,723"
Wolves,Molineux Stadium,"31,700"
Wigan Athletic,DW Stadium,"25,138"
West Ham,London Stadium,"60,000"
Burnley,Turf Moor,"21,944"
Hull City,KCOM Stadium,"25,400"
Portsmouth,Fratton Park,"20,620"
Newcastle Utd,St. James' Park,"52,305"
West Brom,The Hawthorns,"26,688"
Nott'ham Forest,City Ground,"30,445"
Cardiff City,Cardiff City Stadium,"33,316"
Leicester City,King Power Stadium,"32,312"
Blackpool,Bloomfield Road,"17,338"
Swansea City,Liberty Stadium,"21,088"
Sheffield Utd,Bramall Lane,"32,702"
Reading,Madejski Stadium,"24,161"
Bristol City,Ashton Gate Stadium,"27,000"
Middlesbrough,Riverside Stadium,"34,742"
Doncaster,Keepmoat Stadium,"15,231"
QPR,Kiyan Prince Foundation Stadium,"18,439"
Derby County,Pride Park Stadium,"33,597"
Ipswich Town,Portman Road,"30,311"
Watford,Vicarage Road,"22,200"
Preston,Deepdale Stadium,"23,404"
Barnsley,Oakwell,"23,287"
Coventry City,Ricoh Arena,"32,609"
Scunthorpe Utd,Sands Venue Stadium,"9,088"
Crystal Palace,Selhurst Park,"25,486"
Sheffield Weds,Hillsborough Stadium,"34,854"
Plymouth Argyle,Home Park,"17,904"
P'borough Utd,Weston Homes Stadium,"15,314"
Norwich City,Carrow Road,"27,244"
Millwall,The Den,"20,146"
Southampton,St. Mary's Stadium,"32,505"
Brighton,Falmer Stadium,"30,750"
Charlton Athletic,The Valley,"27,111"
Huddersfield,John Smith's Stadium,"24,500"
Bournemouth,Vitality Stadium,"11,329"
Yeovil Town,Huish Park,"9,565"
Brentford,Brentford Community Stadium,"17,250"
Rotherham Utd,AESSEAL New York Stadium,"12,021"
MK Dons,Stadium MK,"30,500"
Burton Albion,Pirelli Stadium,"6,912"
